id,text,sentiment
57,Legendary fodder at this point,positive
58,Still unuseable,negative
59,can someone tell me whats new in this game ? our its just same game,neutral
60,Neymar shouldn\'t be put at the same level as Lewa and KDB,negative
61,Should be 87,negative
62,Is this a joke? No way Henderson is 86,negative
63,As a Benfica fan i would say he was overrated in Fifa 20 and he did a worst season than the one before and still got upgraded.,negative
64,This is an absolute joke. How on earth is he downgraded? He should be 84.Matip started 8 games last season and is 83 rated. Kimpembé was brilliant for an entire season and ends up at 81...,negative
65,'Had a fantastic CL campaign! PSG reached the final for the first time ever - also being the team that conceded the least amount of goals thanks to Kimpempe,Marquinhos and Thiago Silva... All 3 downgraded... what the hell ea... can\'t even bother.',negative
66,last year he was unbelievable,positive
67,Same rating as Bruno and Firmino HAHAHAHA,negative
68,'I’m never been so angry,upset and downright disappointed at a Fifa downgraded rating in my lifetime',negative
69,'This guy has like 0.8 ratio of goals/assists per game without penalities,beast',positive
70,Why the pace downgrade ea?,negative
71,'BRUNO BRUNO BRUNO,came from sporting like Cristiano,he goes left he goes right,makes defences look ****e,he’s our Portuguese magnifico!',positive
72,Gonna be op with that 4* weak foot,positive
73,its great for fifa 21,positive
74,will be the best striker in the prem in fut21,positive
75,that\'s one hell of a card.,positive
76,Sir Marcus Rashford the goat,positive
77,4 star week foot and high medium work rates will make so good,positive
78,low/low workrate wtfffff,negative
79,'I’d love to see him and Berbatov as icons someday,their elegance and ability was truly outstanding',positive
80,'If you are starting to play on Fifa 21,give it a chance to Stoichkov.I have played consistently with him since he became an Icon and he\'s a BEAST!!Focus on his left foot and you will be fine',positive
81,first,neutral
82,He joined Arsenal 2.5 years ago. In that time he\'s scored 71 goals in 110 appearances and been downgraded TWICE. Fifa 19 and Fifa 21 downgrades for no reason,negative
83,'What a joke rating,Deserves 89',negative
84,how is it possibile that Jesus navas is 84 rated ??,neutral
85,truly a dream,positive
86,Auba having on of his best seasons so far in his careerEA: Let\'s downgrade him.,negative
87,Interesting weak foot and skill moves glitch.,positive
88,'GOLDEN BOOT 2019 - DOWNGRADEALMOST GOLDEN BOOT 2020,TOTS,part of best 11 PL squad irl,26\% shots goals - DOWNGADE just **** off EA,I used just don\'t want to buy game,now I\'m sure I\'m not.',negative
89,'The first player I\'m saving my coins for this year,absolutely love him irl and ig he was unstoppable the previous FIFA',positive
90,****ing second top scorer and downgrade what the,negative
91,great upgrade ea...,positive
92,Should be higher but at least they upgraded his pace,negative
93,guerreiro have 78 shoot and sancho 20 goals in last season have 74 HAHAHHA,negative
94,83 pace and 74 shoot ??? 20 goals and 20 assist in the season this is a joke ea,negative
95,ea should consider banning weed in their office.,negative
96,'This is an utter disgrace. Why do we let YOU rate the players,EA?',negative
97,Destroyed CL scored many goals gets a shiet card like this,negative
98,I want to cry rn,negative
99,How did EA manage to make his card worse while upgrading it by +3???,negative
100,99\% of walkouts,neutral
101,poor milner:(,negative
102,He deserved at least 93,negative
103,Should have a 5 star weak foot,negative
104,Im a spurs fan but he should be 78,negative
105,Year after year he gets downgraded after an incredible season…,negative
106,Overrated rat player,negative
107,SBC Fodder 101 for Fifa 21,neutral
108,-8 pace downgrade?? wtf EA,negative
109,Is this supposed to be a joke I dont get?,negative
110,Ratings are a complete joke fifa 21 ..,negative
111,cool design,positive
112,'I wanted to start with bundesliga,now i doubt it',negative
113,'Terrible,terrible design',negative
114,Why is he a RW? Should be CF.,negative
115,Werner- scores 34 goalsEA- lets downgrade this dude,negative
116,Is Danny Rose incharge of the ratings?,neutral
117,'Imagine having him and Vinicius in your front three,samba guaranteed',positive
118,Gotta be a 93 minimum,negative
119,Nice Pace EA,positive
120,'76 sprint speed,gg ea',positive
121,Should get 60 stamina then.,negative
122,will probably be in a lot of starter teams,positive
123,'wow you can already see fifa 21 icons,',positive
124,Would have been 90 pace if he went to United,negative
125,he is 20 and got slower -5,negative
126,17 goals in 32 Bundesliga games and only get 74 shooting....EA is a joke,negative
127,0* 0* with low/low workrates. nice.,negative
128,look how they massacred my boy,negative
129,Like to pack him in FIFA 21,neutral
130,Can\'t wait to put him in a Nani SBC,neutral
131,Why did they give him a downgrade?,neutral
132,'87 is actually wrong. They gave him +4 rep because his base rating at RB is 83. They don\'t give even Messi and Ronaldo +4,I genuinely think EA made an error here.',negative
133,Feels like end of an era. When did we last see Alba below 90 pace?,negative
134,How tf did he get a downgrade?,negative
135,100k surely,neutral
136,please for everyone s mental health dont use this guy,negative
137,still gonna be 40k,neutral
138,Am a Man Utd fan but 85 rating is a joke.,negative
139,deserves 5*wf,negative
140,BEAST,positive
141,Gullllllllllllit GANNNNNNNNNG,positive
142,SORRY BUT FOR WHAT,neutral
143,maybe unpopular opinion but I really dont think he should be any higher than 81. 82 at the max maybe but if he didnt have good defenders around him he would have been **** on last season.,negative
144,He will be expensive damn,neutral
145,Best RB in the world.,positive
146,'Him,Ramos and Courtois. The reason why Real Madrid didn\'t concede that many goals. What a season,warrior!!!',positive
147,'Liverpool legend. Love him,he has played almost every game since Klopp\'s first full season.',positive
148,How tf has ea downgraded auba and werner. Absolute clowns.,negative
149,great ST,positive
150,FINALLY!,positive
151,Should be only 85-86 imo,negative
152,'none rare and 81 rated insted of 83he will be less than 40k,maybe 20k!',neutral
153,why tho....,neutral
154,this guy is so underrated he\'s the top scorer in the pl,positive
155,Still a good Card.,positive
156,arsenal legend,positive
157,Downgraded again??? wtf ea,negative
158,What the .....,neutral
159,great goalkeeper irl. magnificent,positive
160,SIR JOHN VERON,positive
161,op card ALREADY,positive
162,looks good,positive
163,di maria is still pretty fast irl. more pace,positive
164,Been so good for PSG EVERY season since he signed in 2015,positive
165,Underrated player,positive
166,Is this some kind of twisted joke?,negative
167,Going to shine under Koeman,positive
168,Oh no,negative
169,Upgrade for being injured? Pogba got a -2 for being injured but this guy gets a +1 because EA love Liverpool,negative
170,Ya he’s good but if a Serie A player didn’t play the majority of the season they would get a -3. Makes no sense,negative
171,gomez will be overpriced,neutral
172,one of spurs best players last season,positive
173,WTF??,neutral
174,Why the fck has he?,neutral
175,Look how they massacred my boy,negative
176,Overpriced incoming,neutral
177,He should have 5* WF and AT LEAST have 75 pace.,negative
178,Good,positive
179,yea he had a bad season but not -3 downgrade,negative
180,86 rated sociedad player. just looks weird,negative
181,The new Illiaramendi for SBCs,neutral
182,Gonna be so weird seeing real sociedad badge when i get a walkout.,negative
183,I can already see the SBC solutions,neutral
184,DROGBAAA! OH YOU BEUTYYY,positive
185,nice CB for SBC squad,positive
186,After the season he had this is disrespectful and his passing should be way higher.,negative
187,Best striker of the decade!,positive
188,best cb of the last season,positive
189,he was one of the best CBs in the league,positive
190,Man\'s been violated,negative
191,EA is a joke,negative
192,A ****ing disgrace,negative
193,he was one of the best CBs in the league,positive
194,Should of been 88 same as Ederson who also made a many mistakes during this season.,negative
195,Downgrade for this card is a joke!,negative
196,'after a treble win,all of the players get downgraded ;)',negative
197,EA be making april fools jokes in september...,negative
198,77 pace is a joke,negative
199,This company is a joke lmao,negative
200,he\'s a beast,positive
201,Deserves 5 * butt,negative
202,Thats pretty unfair EA,negative
203,Thank you for those 10 great years. You\'ll always be my favorite player,positive
204,+9 Pace for what?,negative
205,'Yess my man,still got his good Card.',positive
206,Like to pack him in FIFA 21,neutral
207,AGAIN 85?!?!?!?!? HE HAS BEEN MEDIOCRE FOR THE LAST 2 YEARS,negative
208,'Wauw... 3 down because of a bad move,corona and an insane manager...',negative
209,This is disrespectful,negative
210,man iim surprised they didn\'t gave him like 79 or somehing becuz of his club and age... But fck EA man,negative
211,one of the highest shooting stats in the game,positive
212,This is disrespectful,negative
213,No upgrade? Wow.,negative
214,wtf is happening with my comments lmao,neutral
215,Still gonna be a dominant player in fifa.,positive
216,This is disrespectful,negative
217,'im atletico fan,but he deserves 90 easy.',negative
218,big rip holy ****,negative
219,cool design,positive
220,Welcome into my packs,neutral
221,he was insane last season,positive
222,'put him LWB,put LW / LM',neutral
223,he was really good for me last year.,positive
224,Surely the first Gullit gang of the year,positive
225,Already scared.,negative
226,Should be 91,negative
227,One of best defenders last season... ,positive
228,This card design looks like he had a freaking loop on his neck,negative
229,Varane + Mendy in every squad until January once again,positive
230,He plays bad,negative
231,'He looks so good. Him CAM,Cristiano ST. Sounds fun',positive
232,'-Seria A MVP 19/20-Only 25 games started in 11,still outperformed most of the Juventus players except Ronaldo.-Carried the team at the start of the season /and he was only benching most of the games at the season start/-Almost sold,but he proved he is a top class player and it\'d be a mistake to sell him,deserves the No. 10 kit for Juve.EA: Let\'s let him 88. Brah. Can\'t understand these ratings. sigh',negative
233,Fun fact: No one will ever pack him,neutral
234,gets a downgrade from 85 to 84... EA is in shambles with these ratings.,negative
235,Best dutch centre back in the world ffs,positive
236,De Vrij gets downgraded to 84 yet Henderson for Gods sake gets upgraded to 86.. Unbelievable,negative
237,This is the worst rating out of them all.,negative
238,'they didn\'t downgrade him you clowns,he started last fifa as a LEFT BACK. if you put him into CB that means physical stats matter more and he has low strength.',negative
239,this rock,positive
240,I wonder if I could ever pack this card in my lifetime,neutral
241,Best defender in the world,positive
242,Agree,positive
243,Deserves much better stats,negative
244,good thing ciro immobile got a boost,positive
245,great irl,positive
246,consider playing him cdm he will be ****ing fantastic,positive
247,'Here we go again,with a player that would not attempt to fight for the ball. LOL',negative
248,0* weak foot according to futbin. Is he an amputee?,negative
249,The reason why i love football so much!,positive
250,If only his strength was a bit higher he\'d the the best fullback on the game with a shadow. 95 stamina is insane but fully deserved,positive
251,The egyptian king,positive
252,This guy is the most hated on the internet in terms of football.,negative
253,'Most overrated player of all time. He was good,but all his goals were friendlies or in a farmers league,look it up!',negative
254,Best GK in Seria A - Please Conte get him to lift a trophy before he leaves,positive
255,will be expensive as hell,neutral
256,this game is so stupid,negative
257,'1st of all,why\'d they downgrade his pace,2nd of all,why didn\'t they give him higher defending stats? Lead the league in tackles,best 1v1 defender in the league imo,(may be *slightly* biased),other than that I think passing should be at least 70 and maybe take down the dribbling a bit,he can look very uncomfortable on the ball,fair enough for physical stats.',positive
258,more pace and defending,positive
259,could be good supersub at cdm,positive
260,100p deserved!,negative
261,Deserves 99 slide tackle,negative
262,spiderrr but he deserves like 84 def min.,negative
263,Why not 80 pace...,neutral
264,Why did EA downgrade his pace?,negative
265,deadeye,neutral
266,1000000-100000000000 price range and still extinct incoming,neutral
267,83 Rated for this? Watch a LB from like the Argentinian league be 80 rated with a better card,negative
268,According to EA Mendy is a better left-back than Davies. ????????,negative
269,does EA watch matches?,neutral
270,Yeeeeah +2,positive
271,this must be the worst 83 ever,negative
272,Moments card for his free kick vs Croatia?,neutral
273,This is way too generous,negative
274,he\'s rubbish. only reason PSG reached the final is because they binned gueye after the QF. once you have been touched by everton you\'re a loser.,negative
275,Mustafi The Goat,positive
276,should be slower than 70 pace,negative
277,should be 87,negative
278,Should be 85,negative
279,Such a terrible card for a 87.,negative
280,Finally CM,positive
281,packed him from mid icon sbc long time ago,neutral
282,price predictions,neutral
283,'Undeserved upgrade coming from a PSG fan... absolutely bossed Real Madrid when we won 3-0,since that - average. should be 82 max',negative
284,Average at best...,positive
285,they did not watch football how tf this guy is faster than snacho and gnabry,negative
286,should be silver,negative
287,Got some pace back at least,neutral
288,'shouldn\'t be this high rated,never played in europe',negative
289,Would be 120k,neutral
290,No upgrade?,neutral
291,how tf did he get upgraded but auba go downgraded,negative
292,What are u looking at?,neutral
293,bruh,negative
294,Deserved a downgrade to an 84 I think,negative
295,His card will be LW not CAM,neutral
296,why are there only 3  82 rated cards in fut 21?,neutral
297,best cdm in the game,positive
298,probably will cost 100-200k at the start,neutral
299,He\'s gonna be more expensive than ashley cole baby and middle version.. like 300k minimum..,neutral
300,first,neutral
301,buy now only 0 coins,neutral
302,this is very harsh.,negative
303,'same fccking game .,.. with nothing new',negative
304,hes gonna be 100k minimum,neutral
305,well this will be expensive,neutral
306,why is he higher rated?,neutral
307,One of those really inresting transfers that just seems like it will be worth it - He isn\'t world class. He likely will never be. But he is solid and fills a hole in the squad.,negative
308,Shouldn’t he be RW?,negative
309,Him or Thiago,neutral
310,should have been 87,negative
311,a bit low imo,negative
312,The king!,positive
313,How the hell did he get an upgrade,negative
314,deserves 4*wf,negative
315,Absolute disrespect,negative
316,why\'s his stamina from 91 to 97?,neutral
317,Higher rated than ake. Just saying,negative
318,This company is scandalous,negative
319,they got the wrong lopes,negative
320,What a sick position change,negative
321,this  year the ratings are the worst,negative
322,should be lower imo,negative
323,EA hates lukaku. This is just disrespectfull!,negative
324,'2 star weak foot is actually,actually mad',negative
325,2* weak foot. Fodder.,negative
326,'Uhm why should Ziyech get a upgrade?,he didnt play the second half of the Saison,and didnt pull out any trees. Bruno for example played the second half and was Utds best Player,hence the upgrade.',negative
327,Slap in the face downvote this card,negative
328,'after everything he has done,still some people consider him as sh*t... mEssI iS tHe BeSt PlAyEr iN tHe WorLd bLabLa',negative
329,he looks slow and fat,negative
330,this guy will be cracked again!!!,negative
331,oh no,negative
332,still op,positive
333,'If u pack him dont sell or use him,just discard him.',negative
334,this is disgusting... I am offended,negative
335,Should be 82 at least.,negative
336,A ****ing disgrace,negative
337,should be 78 lol,negative
338,looks sick,negative
339,the worst icon. no debate,negative
340,Biggest flop in 2020 don\'t @ me,negative
341,How did he get an upgrade,negative
342,Disappointing season,negative
343,why does he get an upgrade while nearly every bayern player get a downgrade,negative
344,How did this man get an upgrade ffs,negative
345,'Good job,EA: very bad season for Joao Felix,still gets an upgrade',negative
346,0 skill movs 0 weak foot ................OK,negative
347,Joao: Did nothing is all the season.EA: Lets give him an upgrade!,negative
348,upgrade?? should be silver,negative
349,Lmaoo upgrade for what?,negative
350,why was he upgraded lol,negative
351,why is he higher rated than Neuer,negative
352,0 WF useless,negative
353,JOKE JOKE JOKE JOKE JOKE,negative
354,doesnt fit the meta,negative
355,Worst 86 card in history,negative
356,unusable,negative
357,What???,negative
358,Literally the worst 87 that FIFA will ever have,negative
359,Better stats than Kimmich... Must be a Joke...,negative
360,wtf,negative
361,Overrated,negative
362,The most overrated sportsman of the history.,negative
363,How is this a silver card?,negative
364,less finishing than douglas costa,negative
365,Overrated. i can shoot the ball better and i\'m in a wheel chair and blind.,negative
366,Bronze cards look sh*t this year,negative
367,Didn\'t have a good season but minus 5 really,negative
368,Overrated,negative
369,87 and 93 pace would be fine but no,negative
370,'He should be 90 minimum,and ill even say 91. I mean he is the best at his position,a captain,even scores goals. Madrid had the best defense in Europe and the one game he wasn\'t there,u know what happened. Shows his class. ',negative
371,Green Link to a starter squad,positive
372,great player,positive
373,how can chelsea players have been robbed?,neutral
374,is awesoome,positive
375,Him and Kessié= :0,neutral
376,86 heading accuracy? ask cannavaro,neutral
377,Should be 91,negative
378,PACKED HIM,neutral
379,3 downgrade for a bad season at  28 years?Can\'t wait to see Barella and Brozo non rare again...Ea hates inter,negative
380,I\'m already relishing his flashback,neutral
381,Looks way better than that outrageous 79 rated leak,positive
382,Honestly I know he hardly plays at real but he deserves so much more than 83. If he played on a regular basis he would be 88-90 but we haven’t been able to appreciate his ability. Hope he moves sooner rather than later,negative
383,gonna have some great special card for sure,positive
384,'Even if you like,you still won\'t pack him.',neutral
385,like here if you pack Nakata from prime icon pack,neutral
386,Him and Renan Lodi on my starting team...,positive
387,wow...,positive
388,Meta!!!,positive
389,PETITION: LET US REPLY COMMENTS,neutral
390,2 or 3 special cards and he will be op,positive
391,He should have got an upgrade imo,negative
392,Hes still good to play with,positive
393,'Who do we reckon is gonna cost more,Mendy or Valverde? Will probably be the 2 most expensive 83 rated players in FIFA history....',neutral
394,This card is going to be insane,positive
395,He should have 5* skill,negative
396,Should have higher dribbling ffs,negative
397,great cm,positive
398,Legend! Came out of retirement to help his hometown club,positive
399,'his Card been good since fifa19,but nice to see it get boosted a bit :).',positive
400,Here we go again...pack him,neutral
401,Looks like a great starter cam,positive
402,'Ngl 64 is fast for him,if you take his CDM Card in count,he got lucky with his pace as CB. He has hella much passing rates,ppl shouldnt underestimate that. Thats why i never played Koulibaly and Manolas together,they cant Pass. So if Koulibaly goes to City,i def play him with Laporte. ',neutral
403,this card looks sick for a starter team :D,positive
404,AC Milan legend,positive
405,ManuWALL Neuer - The GOAT keeper,positive
406,'Had him in my career mode,hes good',positive
407,He is not worthy of having 78 pace wtf,negative
408,-1 is OK maybe -2 but this is too harsh,negative
409,overrated livarpool player,negative
410,amazingly underrated,positive
411,best silver card in the game,positive
412,Strong link to Maldini,positive
413,'HAHAHAHAHAHAHAHAHAHAHAHA nice joke EA.Now,show us his real card,please,it\'s not April\'s fools day.Please  ',negative
414,Better than his bro at this point. still praying for the old Edin,positive
415,Why!,neutral
416,Good card for my starter Serie A team(ye build teams for 3 leagues),positive
417,nice joke EA,negative
418,packed him,neutral
419,How is this 87 ?,neutral
420,why does he not have a hat i am going to cry,neutral
421,Deserves at least 85 free kick accuracy,negative
422,After the restart he was insane,positive
423,'Sad how he gets the exact same card,at least they arent downgrading him when he\'s 30 and he\'s getting a real face this year',negative
424,Disgusting downgrade,negative
425,possibly one of the worlds most underrated players,positive
426,first,neutral
427,why the non-rare tho,neutral
428,this guy not as a walkout,neutral
429,wtf,neutral
430,'He will probably have 30 Heading Accuracy which means that you won\'t be able to score headers with Coman even though he won the Champions League with a header but you know,EA knows best.',negative
431,'Downgraded,are you taking the ****?',negative
432,BIG STEVE,positive
433,How can he and Grimaldo have the same rating lol.... Telles 85 Grimaldo 82,neutral
434,Why should he get an upgrade? He only scored the winning goal for this years Champions league and he played a decent season. Not enough for EA.,negative
435,He will be insane this year at the start mark my words,positive
436,Varane got 82 pace so he should be 80 max,negative
437,'Great passing,physicty,you can hold the ball greatly,and he can shoot where others loose the ball. ',positive
438,So Sané gets injured a full season and goes down by 1 and Reus that still did 26 games with 20 goal contributions goes down by 3... EA really don\'t know what they are doing,negative
439,0* WF? My man running on one leg,negative
440,'Guerreiro is definitely a good player,don\'t get me wrong,but how does he have better shooting and passing than Jadon Sancho considering Sancho contributed to over 3 times the amount of goals that Guerreiro did?',neutral
441,nice wig,positive
442,best gk irl,positive
443,this man gonna cost us,neutral
444,deserved 91/92,negative
445,starter card,positive
446,Worst icon,negative
447,'Sounds fair,was 83 in fifa19,82 in Fifa20 and now back to 83,but yea,could be 84 yes. Still,everything around 85~ is good. Chelsea got the most 85 Rated Players now,that just shows how good their Squad is now. ',positive
448,too slow,negative
449,'Undeserved downgrade,had a decent season.',negative
450,'So disrespectful to Serge Gnabry,i mean wtf is this? really 82 PACE??? 83 Shooting?',negative
451,Alex Telles: 11 goals 8 assists. Most scoring defender in world football. The most important player in the Porto squad.,positive
452,deserved 85+ pace,negative
453,his pace is overrated,negative
454,How tf is he 80? should be 77 at best,negative
455,the goat,positive
456,thank you for the fifa 20 moments i love u roberto,positive
457,The disrespect. Hopefully he retains his 5* skill moves so that his non performance based upgrades will be god tier,negative
458,Should have been CF or RW,negative
459,he will be cheaper more or less,neutral
460,WELCOME BACK LEGEND,positive
461,This is just disrespectful. If Ea are not gonna watch football at least look at the season stats before rating a player. Just unreal that he is an 85 with 82 (to say the least) and Im a dortmund fan,negative
462,Brooo this card is amazing!!,positive
463,the spanish son but 0*0*,negative
464,deserved 5*5*,negative
465,'Sorry,but i think Karim deserves at least the rating Salah and Mane got. I think he is the more talented and smarter on the pitch than them. Too much hype around the Preimer League only because of the way they market themselves',negative
466,why downgrade???,neutral
467,Still no upgrade?,neutral
468,unusable,negative
469,0 stats changes... downgrade,negative
470,Still no upgrade?,neutral
471,No upgrade really?,neutral
472,hoping for flashback in fifa 21 =),neutral
473,deserved 85,negative
474,Him and lenglet at the start of the game...  Will hold til TOTY with no problems ! Even til February.,positive
475,like if you got in base icon pack,neutral
476,The King of CDMS is back.,positive
477,Hope he makes a comeback!,neutral
478,finanlly man he deserves this rating for such a long time.. He was stuck between 85-87 for being one of the greatest player of real madrid in this decade but damn he was inconsistent for only 1 season and was being used as a scapegoat.. I remember that time 3 years ago,positive
479,Why him 80??,neutral
480,position change makes him better,positive
481,He should have been upgraded,negative
482,I can feel this card is gonna be real expensive in the beginning,neutral
483,0 WEAK FOOT,negative
484,higher rated than ake?? lol,neutral
485,Second GOAT,positive
486,Look how they massascred my BOY -,negative
487,he plays in every position and they free kicks are amazing,positive
488,39 pace even my granny is faster,negative
489,should be 89 pace at least and 5wf man,negative
490,he gonna be in my starter squad lol,positive
491,'Ye he def gonna be in my Serie A starter team aswell,along side with Tonali nd Bentacur in the Midfield,Rebic upfront,and Bernadschi outright. CB gonna be Demiral and Deligt Pog',positive
492,'Downgrades to Marquinhos,Thiago Silva,Kimpembe,Alaba,and Boating? Davies not even in the top 20 fullbacks? Crazy,it\'s like these two teams barely conceded any goals on their way to the champions league final while Liverpool got punted out by Llorente in the round of 16...But let\'s upgrade Matip?',negative
493,the king is back,positive
494,I did not now that he lost 2 of his legs and got 68 Pace by EA,negative
495,im so confused why did he get a downgrade?,neutral
496,Why would you downgrade him by 2?,neutral
497,Anthony Lopes was as consistent as Sommer or even better... No reason for -2...,negative
498,Poor thing that he has -20 pace... Back in the they with Ribery,negative
499,upgraded to 81?,neutral
500,great lb,positive
501,This card should have been 87 after what the season he had.,negative
502,'in what world was he better than zagadou? He is the worst dortmund purchase in recent years,and he is somehow still 80 rated',negative
503,Wanna hear a joke?,negative
504,'Sure,76 stamina for guy which always plays 90 minutes ?????',neutral
505,Alex Telles: 11 goals 8 assists. Most scoring defender in world football. The most important player in the Porto squad,positive
506,Why tf is he faster than sancho???,neutral
507,Should have 5 * Skills,negative
508,'best CB in the game,pace feels like 90 and defends better than virgin van dijk',positive
509,'this guy will probably have high crossing,if headers are op and he gets an inform,he will be one of the best RBs in the game.',positive
510,He has less dribbling then Wan-Wood-Bisaka while having great dribbling success rate.,negative
511,deserve 84 at most,negative
512,lewa robbed. deserved 93+,negative
513,Hopefully he gets his FUT Future Stars card this year :),neutral
514,This guy was so easy to get and so cheap for the past couple of years. I think this is the year he starts to be harder to get. Such a beast in the box in game,positive
515,'86 Rated Ziyech Card,that\'s what he deserves on Fifa 21.His weak foot must be 3 instead of 2EA Upgrade him',negative
516,EA just seems to have a problem with certain players. The guy had been consistently scoring 20+ goals each season in the top flight for the last 4 years and they struggled to put him past 83. Now he just gets downgraded.,negative
517,unusable,negative
518,BOYS WE GOT HIM,neutral
519,deserved 80 or less,negative
520,Still only 83?,neutral
521,Ramires regen with probably better stats,positive
522,got an upgrade in pretty much everything from last year\'s card and still a -1i need some of what EA are having while making these ratings,negative
523,He\'s been butchered this year,negative
524,How on earth does a card with only 4 stats that\'s 87 or higher equate to an overall rating of 87????,neutral
525,91 is a joke... but he\'ll be the best gold b2b on the game btw,positive
526,3* weak foot?,neutral
527,'Looks really good,I hope his average dribbling isn\'t a problem',positive
528,Very nice card,positive
529,he is cheap PL starter,neutral
530,'This guy in his prime was the best dribbler ever,better dribbler than ',positive
531,'Him having the same rating as Telles is just ridiculous,should be 82',negative
532,4*4  EA ??,neutral
533,4*wf???,neutral
534,Would be a nice CM card.,positive
535,first,neutral
536,86 stamina is such a joke. he literally never stops running,negative
537,2 informs 3 potms 1 motm winter upgrade and tots card DOWNGRADE!,negative
538,'WTF he was so good for Chelsea last season,was expecting 83',negative
539,'The trio of him,can and delaney is gonna be op',positive
540,Best cb of serie a,positive
541,And Sancho is the same overall as he?,neutral
542,Oh look how they massacred my boy,negative
543,'M/M is stupid,you can even give him High defensive WR and I wouldn\'t complain,always seems to work harder than Barca\'s midfield everytime he plays. ',negative
544,He has been a god for 10+ years,positive
545,MY GOD,positive
546,very nice card,positive
547,i smell goat,positive
548,hes really good ngl,positive
549,this man is gonna stay in my team until he gets an flashback,positive
550,great cbb,positive
551,ho what?,neutral
552,deserved 84-85,negative
553,did saul get downraded wtf,negative
554,him or dumbelame?,neutral
555,2nd best midfielder ALRIGHT DOUGH,positive
556,'ELIAS THE BEST CB OF THE FOOTBALL HISTORY,the best defender',positive
557,deserved a downgrade imo,negative
558,He was ranked number 6th best player in serie A last season in the official rankings and he gets downgraded? I am sure it is only because his age,negative
559,only 83?,neutral
560,This card should have been a 87 for sure.,negative
561,buy him while he is 0*0*,neutral
562,Super Goal scorer,positive
563,Man Unt ruined his holl career. Only ogs remenber the good old arsenal days,negative
564,'Certainly getting an upgrade later this season. Was rock at the back towards the end,might force Godin out of the club',positive
565,Legend Lev!,positive
566,8-2,neutral
567,why Hazard is injured,neutral
568,'The best thing is,he\'s so humble and works hard to improve himself <3. Not every signing turned out that way ',positive
569,1963 | All-Stars. Performance of a legend,positive
570,Disappointing,negative
571,Future Star card this year!,neutral
572,'He honestly toward the back half of the season hasn\'t been very good on the ball,and he just gave away another goal',negative
573,'True BVB legend,love u',positive
574,Was Chelseaâ€™s best player beside pulisic after lock down but ok,positive
575,A star in the making for Italian Football. Hopefully will get an upgrade later this season.,positive
576,future star,positive
577,miss him,neutral
578,'Sad to see how his career is ending,used to be one of the best players in the premier league. Sold his soul and went for the P\'s',negative
579,koeman is a goat,positive
580,What is EA doing. I mean deserved rating but 3* weak foot? He\'s scored more goals with his weak foot than any other player in the premier league last season.,negative
581,This rating is so stupid... Average player and had a super average season. No explanation whatsoever for this rating.,negative
