content,sentiment,date
si prega e si pretende da virologi  zanzarologi e chiunque altro  ma in primis ancora dai nostri politici  il rispetto della  costituzioneitaliana  non mi asterrò dal contattare il mio legale in caso di imposizione  vaccino e  greenpass per accedere ovunque  chiediamolo tutti,-1,07-14-2021
più che al green pass io sarei favorevole al lockdown,-1,07-15-2021
una cosa è certa  se il governo non avrà il coraggio di imporsi con green pass e obbligo vaccinale  io non rispetterò più alcuna restrizione dovesse assumere per frenare la  ondata  i diritti costituzionali ce li abbiamo tutti ,1,07-15-2021
il green pass è una cagata pazzesca visto che i vaccinati si infettano come gli altri  ,-1,07-15-2021
fanno bene a mettere il green pass ,1,07-15-2021
se non passa il green pass esteso alla macron il governo pensa all obbligo di vaccino,0,07-15-2021
la francia in rivolta dopo l annuncio sul greenpass di macron  ma il  racconto  è che in una notte un milione di francesi hanno prenotato il vaccino dopo l annuncio di macron  staremo a vedere se prevarrà lo story telling della paura e del ricatto o milioni di francesi incazzati ,0,07-13-2021
richiedere pass obbligatorio per accedere a ristoranti o luoghi pubblici non solo è strumento di controllo sociale inaccettabile  ma è lesivo della libertà individuale su cui si fonda democrazia  assordante silenzio su scelta di  macron che crea pericoloso precedente  greenpass ,-1,07-13-2021
green pass  l ipotesi di obbligo per i trasporti  gelmini   non si perda tempo o si richiude   anche ms dice no a restrizioni per ristoranti  la  via italiana  indicata mercoledì da mariastella gelmini al  modello francese  potrebbe essere in un…  ,0,07-15-2021
se applicasismo invece il q i  pass  sono certo che molti statali sarebbero disoccupati  si badi bene  oggi il green pass  domani il microchip  la strada è brevissima ,-1,07-14-2021
no  dimostra come avvengono i ricatti e le minacce  poi chiunque è libero di fare la propria scelta  ma dev essere una libertà in entrambi i sensi  gli obblighi velati non sono da paese civile   greenpass  noobbligovaccinale ,-1,07-14-2021
green pass  via dal ° luglio per i viaggi in europa  domande e risposte su cosa è  come si ottiene  dove serve  ,0,07-01-2021
green pass e discoteche  le nuove regole dell estate ,0,07-15-2021
green pass per locali  treni  cinema ed eventi  italia pronta a seguire la francia  via   greenpassobbligatorio,0,07-14-2021
informatevi sui virologi che vi gonfiano le palle da circa  mesi  prima di credere a tutto quello che dicono   coglioni    covid  vaccino  covidioti  bassetti  vaccinicovid  dittaturasanitaria  greenpass  noobbligovaccinale ,-1,07-08-2021
tra le varie  lockdown  obbligo per legge  aperture indiscriminate  il  greenpass è l opzione che meglio bilancia i diritti di tutti  a molti non va bene  governare è questo  ascoltare tutti  poi decidere in una via di mezzo  questa è democrazia ,1,07-15-2021
green pass  potrebbero cambiare le regole in italia  annuncio della ministra gelmini ,0,07-14-2021
per andare al ristorante serve il green pass   io non andrò in nessun ristorante che me lo chiederà   ristoratori  se volete ancora clienti  protestate adesso  altrimenti caleranno ancora di più i vostri guadagni,-1,07-14-2021
i  novax non stanno bene con la testa  questo è sicuro    greenpass  vaccinobligatoire  vaccinicovid,0,07-15-2021
io mi sono vaccinato  ognuno faccia quel che crede  in linea di massima sarei favorevole all obbligo ma sono assolutamente contrario al ricatto del green pass ,-1,07-14-2021
vaccinazione in francia  boom di prenotazioni dopo dichiarazioni macron su green pass  ,0,07-13-2021
io sono favorevole al  greenpass  usiamolo come in francia   covid  non rileghiamo in casa chi si è  vaccinato saggiamente  vacciniamoci e usciamo da questo incubo ,1,07-13-2021
no insegna che il greenpass non serve a una sega e che aveva ragione montanelli gli italiani sarebbero stati gli unici a entrare in europa da europei tutti gli altri paesi sarebbero entrati con i loro interessi nazionali ,-1,07-11-2021
vaccini e green pass falsi  sequestrati canali telegram  leggi su gloo   gloo  ecosistemaonline ,0,07-10-2021
 chi è contro il green pass è contro le riaperture   bassetti fa impallidire pure speranza    contro  green  contro  riaperture   ,0,07-15-2021
ho sentito gente che aspira a trovare qualcuno che faccia il green pass falso  il green pass falso raga  questa è l italia dopo la pandemia  il paese dei furbetti  di chi che pensa di essere al di sopra della legge e dell etica  io giuro spero che vi becchino e buttino la chiave ,0,07-15-2021
 a proposito di green pass e argomenti caldi della settimana  date un occhiata a cosa scrivevo per  e  a fine gennaio…infondo era così difficile da prevedere    obbligovaccinale  greenpass  zuppadiporro  libertadiscegliere,0,07-15-2021
come scaricare green pass  i modi per richiedere certificazione covid  se non arriva… ,0,07-15-2021
 covid intervista a     no a uso  greenpass  come in  francia  equivale a dire che la vaccinazione è obbligatoria e c è anche un problema di  privacy  basta zone colorate in base ad incidenza  ma solo ospedalizzazioni  no alle discriminazioni a  scuola ,0,07-14-2021
noi comunque stiamo continuando a dare il green pass dopo la prima dose pur sapendo che la variante delta viene fermata dalla vaccinazione completa giusto ,0,07-15-2021
i contagi risalgono  ringraziamo novax e scalmanati dei festeggiamenti per gli europei a tutti i costi  amici ristoratori non scassateci il cazzo  sapete con chi prendervela   covid  novax  euro il green pass per me anche solo per uscire di casa  saluti ,1,07-15-2021
mio babbo incazzato perché non gli è arrivato il green pass  vaccinato a aprile   gli dico babbo ma vai a follonica a che ti serve il green pass   a nulla ma lo voglio uguale ,0,07-04-2021
io sono due mesi che aspetto mi chiamino per vaccinarmi  sta cosa del green pass per fare qualsiasi cosa è tremendamente ingiusta per le persone come me che  perché enni  non vengono vaccinate  ps  regione umbria infame,0,07-14-2021
qualcuno può chiarirmi se  chi ha completato il ciclo vaccinale  pur contraendo il virus  può infettare a sua volta   covid  vaccini  greenpass,0,07-14-2021
non dovrebbe essere difficile da capire  se la varianti del  covid variano troppo  prima o poi può arrivare la variante problematica anche per i vaccinati  e siamo da capo a   quindi seguiamo la francia  con buona pace di chi di  scienza ne capisce poco   luglio  greenpass ,1,07-14-2021
dopo che macron ha introdotto in francia l obbligo del green pass per accedere ai luoghi pubblici  si discute di questa eventualità anche in italia  tra i favorevoli  il presidente della regione liguria     rainews  newsroomitalia  ,0,07-14-2021
l utilizzo del  greenpass è una scelta pragmatica a tutela della nostra salute  mette in sicurezza aperture e vita sociale assicurando il benessere di chi non può vaccinarsi per età e motivi di salute   anche questa è libertà     ,1,07-14-2021
sicilia  campania  marche e abruzzo a rischio  zonagialla  la sicilia potrebbe cambiare colore a meno di un mese dall inizio della  zonabianca  da ieri in zona rossa piazza armerina   greenpass e  obbligovaccinale potrebbero mettere al sicuro almeno la stagione estiva  luglio,0,07-13-2021
come capire che il green pass oltre che liberticida e incostituzionale è anche inutile   basta digitare su google  israele  o  regno unito  e poi  contagi vaccinati    non è una cosa difficile  quindi mi pare che chi insista sia in malafede    nogreenpass,-1,07-14-2021
oggi alla camera al ministro  ho chiesto di discutere con le regioni l estensione del green pass per l accesso ad alcune attività  far pesare restrizioni sui vaccinati  questo sì che sarebbe  raggelante   un buono stato di salute del paese è interesse di tutti ,0,07-14-2021
sileri intervistato dal messaggero lo dice chiaramente  quando si rialzeranno i contagi  regioni colorate  green pass per tutto per non dover richiudere      ,0,07-14-2021
mi confermate che in austria per prendere il treno ci vuole il greenpass,0,07-14-2021
questi fanno il cazzo che vogliono e io dovrei mostrare il greenpass al barista  ma andate affanculo   da  mesi non metto piede ne al bar ne al ristorante  ,-1,07-14-2021
basta distanze e mascherine basta tamponi e zone a colori niente vaccino obbligatorio e niente green pass  nel  si deve tornare alla normalità e alla vita di sempre e presto        ,-1,07-09-2021
 obbligovaccinale ognuno faccia come crede assolutamente d accordo che chi non ha greenpass sia limitato nei movimenti  mi sono vaccinata per me  ma anche per te,1,07-13-2021
 greenpass non c è peggior schiavo di chi implora le catene   ,-1,07-14-2021
è evidente solo a me che l obbligo a entrare col  greenpass in bar e ristoranti non riguarda minimamente il raffreddore  ma è per far fallire quelli che hanno resistito alle prime chiusure ,-1,07-14-2021
sono inaccettabili i paragoni tra la stella gialla imposta agli ebrei  durante la shoah e il green pass per la lotta al covid  condannate fermamente questi paragoni negazionisti  la stella gialla era un passaporto per la morte il green pass è una garanzia per la vita ,0,07-13-2021
ma col  greenpass si devono pagare lo stesso le tasse ,0,07-14-2021
il generale  figliuolo lo ha già detto  usare il  greenpass per eventi  ristoranti e trasporti  come deciso da  macron  in  francia  è  una strada percorribile  in italia   obbligovaccinale  covid  covid   luglio  ,0,07-13-2021
invece di fare il  greenpassobbligatorio per entrare ovunque perché non si rende obbligatorio il  vaccino   non puoi lasciarmi libera scelta se dopo viene vietato quasi tutto  ognuno si prenda le proprie responsabilità stati compresi    greenpass,-1,07-15-2021
utilizzare la green pass per accedere a luoghi pubblici locali e mezzi pubblici è  una buona idea e limiterebbe anche la diffusione della variante  non si può  farne una questione di ideologia ma di buon senso   ilunatici,1,07-13-2021
fra poco metteremo le stelline sui negozi per segnalare quelli che non fanno entrare chi è sprovvisto di greenpass     ma stavolta non ci scriveremo  juden   lt  se mai  socialist ,-1,07-14-2021
non avrei voluto mai scriverlo ma sono d accordo con la linea francese  nei locali pubblici solo con green pass o tamponi    contagi  vaccinicovid,1,07-13-2021
modello  macron subito anche in  italia  con  obbligovaccinale per sanitari e docenti in primis  poi  greenpass per avere una vita sociale  stadi  ristoranti  bar  teatri  discoteche ecc     chi non vuole vaccinarsi resti a casa e ci lasci vivere    vaccinoobbligatorio,1,07-13-2021
necessario per contrastare ignoranza e menefreghismo di molti   greenpass  soprattutto ne gioviamo tutti ,1,07-14-2021
occorre rendere obbligatorio il green pass per tutto  trasporti  spettacolo  turismo  ristoranti   non si vuole rendere obbligatorio il vaccino  obbligatori il green pass   oppure restino a casa  ,1,07-01-2021
favorevolissima ai vaccini  favorevole al  greenpass esteso ai trasporti e ristoranti   ma far sì che il tampone per ottenere il greenpass ai minori di  anni  per cui non è ancora previsto il vaccino  sia totalmente gratuito ,1,07-14-2021
si scrive green pass  si legge leggi razziali ,-1,07-12-2021
no  non è una buona idea pubblicare il qrcode del green pass  questo ce lo siamo detti  ma se andassimo un po  oltre ed approfittassimo per guardare al tema da una prospettiva diversa   ,0,07-05-2021
evviva il greenpass proposto da  macron  ma che aspettano a farlo anche da noi  ,1,07-13-2021
la soluzione sarebbe introdurre il green pass ovunque  per andare al bar  in aereo  al lavoro  in autostrada  al supermercato  negli uffici pubblici  nei luoghi all aperto  e far pagare € il tampone  che valga solo  ore  vedi come si prosciuga la palude novax ,1,07-06-2021
però per andare ad un matrimonio serve il green pass     siamo davvero alla follia in questo mondo in pandemia ,-1,07-07-2021
i locali che chiederanno green pass falliranno inesorabilmente  sono già messi male così    ,-1,07-14-2021
l accesso a locali e mezzi di trasporto subordinato al green pass è un ottima cosa  secondo me  lo stato non obbliga alla vaccinazione  però  chi sceglie di non farlo  ne paga le conseguenze  a me sembra equo e democratico  e tutela entrambe le parti  vax e novax   sapevatelo,1,07-14-2021
 perché il green pass è tutto tranne che una misura sanitaria ,-1,07-15-2021
